id,width_init,height_init,scale,width_res,height_res,throughput,mode,interpolation,time_ms,mse,psnr,ssim,total_images,used_ai,model_name
b6c9a4b5-cf38-46f5-8a42-d4195b919605,512,512,2,1024,1024,22061072.24,one_way,Nearest Neighbor,47.5306,4.791231791,41.32633179,0.990569497,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,512,512,2,1024,1024,26315253.21,one_way,Nearest Neighbor,39.8467,7.159909566,39.58172824,0.976364081,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,512,512,2,1024,1024,21426840.36,one_way,Nearest Neighbor,48.9375,10.00830841,38.12719681,0.966403872,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,512,768,2,1024,1536,20879095.21,one_way,Nearest Neighbor,75.332,6.653181288,39.90051003,0.988474524,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,529,656,2,1058,1312,32289186.89,one_way,Nearest Neighbor,42.9895,10.85412632,37.77485489,0.996439221,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,706,490,2,1412,980,24585797.82,one_way,Nearest Neighbor,56.2829,4.57989054,41.52225262,0.993753567,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,720,576,2,1440,1152,22528019.47,one_way,Nearest Neighbor,73.6363,6.794724955,39.80908479,0.982591051,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,749,768,2,1498,1536,29589172.16,one_way,Nearest Neighbor,77.7625,21.17158005,34.8732709,0.988528847,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,768,512,2,1536,1024,18121701.26,one_way,Nearest Neighbor,86.7945,22.00917562,34.70476585,0.9855305,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,768,512,2,1536,1024,21433745.87,one_way,Nearest Neighbor,73.3826,7.095982869,39.62067802,0.985906003,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,787,576,2,1574,1152,22272353.75,one_way,Nearest Neighbor,81.4125,1.914387148,45.31050591,0.989553239,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,1024,768,2,2048,1536,42747258.42,one_way,Nearest Neighbor,73.589,8.370984819,38.90303807,0.994100447,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,1024,1024,2,2048,2048,18697626.81,one_way,Nearest Neighbor,224.3228,12.90163136,37.02435732,0.976072263,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,500,480,2,1000,960,21911554.92,one_way,Nearest Neighbor,43.8125,66.08494167,29.9297785,0.959520618,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,288,288,2,576,576,19666394,one_way,Nearest Neighbor,16.8702,2.471261735,44.20161616,0.996396589,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,256,256,2,512,512,16983408.16,one_way,Nearest Neighbor,15.4353,21.209493,34.86550074,0.989254586,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,352,288,2,704,576,19191821.67,one_way,Nearest Neighbor,21.129,9.108178136,38.53648845,0.986570028,50,False,-
b6c9a4b5-cf38-46f5-8a42-d4195b919605,512,480,2,1024,960,20754916.16,one_way,Nearest Neighbor,47.3642,10.03015408,38.11772756,0.991860964,50,False,-
