id,width_init,height_init,scale,width_res,height_res,throughput,mode,interpolation,time_ms,mse,psnr,ssim,total_images,used_ai,model_name
c0ea358c-a506-4c08-a1b2-dcb4540926d3,512,512,2,1024,1024,22138250.05,one_way,Nearest Neighbor,47.3649,4.791231791,41.32633179,0.990569497,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,512,512,2,1024,1024,25684905.67,one_way,Nearest Neighbor,40.8246,7.159909566,39.58172824,0.976364081,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,512,512,2,1024,1024,21182369.3,one_way,Nearest Neighbor,49.5023,10.00830841,38.12719681,0.966403872,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,512,768,2,1024,1536,20683359.44,one_way,Nearest Neighbor,76.0449,6.653181288,39.90051003,0.988474524,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,529,656,2,1058,1312,32322419.45,one_way,Nearest Neighbor,42.9453,10.85412632,37.77485489,0.996439221,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,706,490,2,1412,980,24265422.79,one_way,Nearest Neighbor,57.026,4.57989054,41.52225262,0.993753567,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,500,480,2,1000,960,22306232.04,one_way,Nearest Neighbor,43.0373,66.08494167,29.9297785,0.959520618,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,288,288,2,576,576,19822315.16,one_way,Nearest Neighbor,16.7375,2.471261735,44.20161616,0.996396589,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,256,256,2,512,512,16509783.92,one_way,Nearest Neighbor,15.8781,21.209493,34.86550074,0.989254586,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,352,288,2,704,576,19340659.34,one_way,Nearest Neighbor,20.9664,9.108178136,38.53648845,0.986570028,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,512,480,2,1024,960,20855441.39,one_way,Nearest Neighbor,47.1359,10.03015408,38.11772756,0.991860964,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,276,276,2,552,552,24228814.97,one_way,Nearest Neighbor,12.5761,11.33831303,37.58531918,0.969493562,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,256,256,2,512,512,17980438.15,one_way,Nearest Neighbor,14.5794,43.81483968,31.71459134,0.982748884,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,128,128,2,256,256,13887099.51,one_way,Nearest Neighbor,4.7192,6.454813639,40.03196653,0.991867842,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,256,256,2,512,512,20424789.24,one_way,Nearest Neighbor,12.8346,49.40102641,31.19344388,0.9811092,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,256,256,2,512,512,17789359.39,one_way,Nearest Neighbor,14.736,6.982920329,39.69043274,0.987196093,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,1024,1024,2,2048,2048,19346822.24,one_way,Nearest Neighbor,216.7955,58.90184498,30.42951462,0.97800352,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,1024,1024,2,2048,2048,23053213.67,one_way,Nearest Neighbor,181.9401,10.81580989,37.79021316,0.991347544,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,1200,1120,2,2400,2240,18848812.96,one_way,Nearest Neighbor,285.2169,4.824375744,41.29639236,0.982652813,20,False,-
c0ea358c-a506-4c08-a1b2-dcb4540926d3,1616,1080,2,3232,2160,22155969.5,one_way,Nearest Neighbor,315.0898,4.928439945,41.20370892,0.991790167,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,512,512,2,1024,1024,20404955.99,one_way,Bilinear,51.3883,3.106753031,43.2077363,0.993578986,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,512,512,2,1024,1024,20677893.91,one_way,Bilinear,50.71,3.729143778,42.41471233,0.984425752,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,512,512,2,1024,1024,19549234.96,one_way,Bilinear,53.6377,5.18225352,40.98561706,0.978848668,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,512,768,2,1024,1536,18233081.36,one_way,Bilinear,86.2643,4.039044698,42.06801702,0.991933864,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,529,656,2,1058,1312,29773156.25,one_way,Bilinear,46.6224,11.83892757,37.39767997,0.996300403,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,706,490,2,1412,980,24303011.36,one_way,Bilinear,56.9378,3.896360641,42.22421213,0.995332851,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,500,480,2,1000,960,19132691.19,one_way,Bilinear,50.1759,34.25610833,32.78342337,0.968454746,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,288,288,2,576,576,18581998.02,one_way,Bilinear,17.8547,1.612280575,46.05639739,0.997125696,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,256,256,2,512,512,16100035.62,one_way,Bilinear,16.2822,12.46870422,37.17259038,0.992538859,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,352,288,2,704,576,18762041.36,one_way,Bilinear,21.613,6.123796559,40.26059606,0.988962913,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,512,480,2,1024,960,19879755.63,one_way,Bilinear,49.4493,6.464109972,40.02571625,0.994130274,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,276,276,2,552,552,20034585.01,one_way,Bilinear,15.2089,5.454749527,40.76305548,0.978752123,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,256,256,2,512,512,16667132.92,one_way,Bilinear,15.7282,26.92367045,33.82946095,0.985803597,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,128,128,2,256,256,13651626.88,one_way,Bilinear,4.8006,3.765034993,42.37311344,0.99414958,20,False,-
6bf123b2-4646-4555-af35-a89abd3391f9,256,256,2,512,512,19573502.18,one_way,Bilinear,13.3928,28.7943929,33.53772435,0.983884028,20,False,-
